Rank,country,Capital,Continent,Area (km²),Yr_1950,Yr_1960,Yr_1970,Yr_1980,Yr_1990,Yr_2000,Yr_2010,Yr_2020,Yr_2023,World Population Percentage
218,San Marino,San Marino,Europe,61,12963,15556,18169,21346,23132,26823,31608,34007,33642,0
41,Saudi Arabia,Riyadh,Asia,2149690,3089693,4165563,6106191,10171710,16004763,21547390,29411929,35997107,36947025,0.46
72,Senegal,Dakar,Africa,196722,2496065,3273177,4367744,5703869,7536001,9704287,12530121,16436119,17763163,0.22
105,Serbia,Belgrade,Europe,88361,6017683,6579989,7193533,7777010,7987529,7935022,7653748,7358005,7149077,0.09
196,Seychelles,Victoria,Africa,452,38106,43167,54379,65290,71057,80060,92409,105530,107660,0
102,Sierra Leone,Freetown,Africa,71740,2000790,2301310,2778557,3367477,4325388,4584067,6436698,8233969,8791092,0.11
113,Singapore,Singapore,Asia,710,1006701,1601079,2061831,2400729,3022209,4053602,5163590,5909869,6014723,0.07
214,Sint Maarten,Philipsburg,North America,34,1458,2646,6260,12243,27845,30489,33034,43621,44222,0
116,Slovakia,Bratislava,Europe,49037,3465617,4124239,4522867,4973883,5261305,5376690,5396424,5456681,5795199,0.07
148,Slovenia,Ljubljana,Europe,20273,1445033,1599571,1741286,1901570,1986024,1984339,2057286,2117641,2119675,0.03
166,Solomon Islands,Honiara,Oceania,28896,105209,133440,172833,233668,324171,429978,540394,691191,740424,0.01
70,Somalia,Mogadishu,Africa,637657,2213052,2870732,3720977,5892224,6999096,8721465,12026649,16537016,18143378,0.22
24,South Africa,Pretoria,Africa,1221037,13043844,16520441,22368306,29463549,39877570,46813266,51784921,58801927,60414495,0.75
29,South Korea,Seoul,Asia,100210,20104010,25817529,32601143,38170501,44120039,46788591,48813042,51844690,51784059,0.65
86,South Sudan,Juba,Africa,619745,2492077,2907724,3342410,4192011,4750817,6114440,9714419,10606227,11088796,0.14
30,Spain,Madrid,Europe,505992,28069694,30415591,33792617,37491666,38889889,40741651,46572772,47363807,47519628,0.6
61,Sri Lanka,Colombo,Asia,65610,7945977,9783871,12388769,14943645,17204094,18776371,20668557,21715079,21893579,0.27
32,Sudan,Khartoum,Africa,1886068,6191323,8326462,11305206,16673586,21090886,26298773,33739933,44440486,48109006,0.59
170,Suriname,Paramaribo,South America,163820,195765,268396,379918,375112,412756,478998,546080,607065,623236,0.01
87,Sweden,Stockholm,Europe,450295,7014610,7492895,8027702,8311763,8548406,8871043,9381729,10368969,10612086,0.13
101,Switzerland,Bern,Europe,41284,4692639,5328273,6181227,6319113,6711693,7182059,7822435,8638613,8796669,0.11
60,Syria,Damascus,Asia,185180,3543537,4610712,6319199,8898954,12408996,16307654,22337563,20772595,23227014,0.28
57,Taiwan,Taipei,Asia,36193,7623130,10983147,14957870,18100281,20586174,22194731,23083083,23821464,23923276,0.3
95,Tajikistan,Dushanbe,Asia,143100,1526140,2131992,2993019,4045965,5417860,6272998,7621779,9543207,10143543,0.12
22,Tanzania,Dodoma,Africa,945087,7632399,10042458,13618192,19297659,26206012,34463704,45110527,61704518,67438106,0.82
20,Thailand,Bangkok,Asia,513120,20411638,26596584,35791728,45737753,55228410,63066603,68270489,71475664,71801279,0.9
155,Timor-Leste,Dili,Asia,14874,414791,468573,554021,642224,758106,878360,1088486,1299995,1360596,0.02
100,Togo,Lomé,Africa,56785,1398525,1651367,2197383,2838110,3875947,5008035,6571855,8442580,9053799,0.11
233,Tokelau,Nukunonu,Oceania,12,1599,1795,1714,1647,1669,1666,1367,1827,1893,0
197,Tonga,Nuku‘alofa,Oceania,747,49830,67428,86484,96708,98727,102603,107383,105254,107773,0
153,Trinidad and Tobago,Port-of-Spain,North America,5130,648616,847063,988890,1127852,1266518,1332203,1410296,1518147,1534937,0.02
79,Tunisia,Tunis,Africa,163610,3606288,4195467,5047404,6578156,8440023,9893316,10895063,12161723,12458223,0.15
18,Turkey,Ankara,Asia,783562,20977697,27510980,35540990,44089069,54324142,64113547,73195345,84135428,85816199,1.07
111,Turkmenistan,Ashgabat,Asia,488100,1214096,1602052,2201432,2862903,3720278,4569132,5267970,6250438,6516100,0.08
227,Tuvalu,Funafuti,Oceania,26,4732,5404,5814,7731,9182,9638,10550,11069,11396,0
31,Uganda,Kampala,Africa,241550,5750637,7617746,10317212,13284026,17586630,24020697,32341728,44404611,48582334,0.59
38,Ukraine,Kiev,Europe,603500,37302996,42767251,47279086,49973920,51589817,48879755,45683020,43909666,36744634,0.5
97,United Arab Emirates,Abu Dhabi,Asia,83600,74591,133426,298084,1014048,1900151,3275333,8481771,9287289,9516871,0.12
21,United Kingdom,London,Europe,242900,50055065,52543017,55650166,56326328,57210442,58850043,62760039,67059474,67736802,0.85
3,United States,"Washington, D.C.",North America,9372610,148281550,176188578,200328340,223140018,248083732,282398554,311182845,335942003,339996563,4.24
133,Uruguay,Montevideo,South America,181034,2234144,2529021,2790265,2953750,3117012,3292224,3352651,3429086,3423108,0.04
43,Uzbekistan,Tashkent,Asia,447400,6247550,8372311,12011361,15947129,20579100,24925554,28614227,33526656,35163944,0.43
181,Vanuatu,Port-Vila,Oceania,12189,51568,64608,87019,118156,150882,192074,245453,311685,334506,0
51,Venezuela,Caracas,South America,916445,5488614,8156937,11355475,15210443,19750579,24427729,28715022,28490453,28838499,0.35
16,Vietnam,Hanoi,Asia,331212,25109200,32718461,41928849,52968270,66912613,79001142,87411012,96648685,98858950,1.23
172,Western Sahara,El Aaiún,Africa,266000,12982,33023,76371,116775,178529,270375,413296,556048,587259,0.01
46,Yemen,Sanaa,Asia,527968,4712810,5542459,6843607,9204938,13375121,18628700,24743946,32284046,34449825,0.42
63,Zambia,Lusaka,Africa,752612,2318448,3119430,4281671,5720438,7686401,9891136,13792086,18927715,20569737,0.25
74,Zimbabwe,Harare,Africa,390757,2791326,3806310,5202918,7049926,10113893,11834676,12839771,15669666,16665409,0.2
